,topic,seed_sequence,score,annotated
181,flatearth,22,-0.14,78.0
182,flatearth,23,-0.21,78.0
183,flatearth,24,-0.17,82.0
184,flatearth,25,-0.12,75.0
185,flatearth,26,-0.07,78.0
186,flatearth,27,-0.2,70.0
187,flatearth,28,-0.15,81.0
188,flatearth,29,-0.15,85.0
189,flatearth,30,-0.16,90.0
190,flatearth,31,-0.16,88.0
191,flatearth,32,-0.23,81.0
192,flatearth,33,-0.23,77.0
193,flatearth,34,-0.25,76.0
194,flatearth,35,-0.07,82.0
195,flatearth,36,-0.13,80.0
196,flatearth,37,-0.22,74.0
197,flatearth,38,-0.16,77.0
198,flatearth,39,-0.1,93.0
199,flatearth,40,-0.12,91.0
200,flatearth,41,-0.43,92.0
201,flatearth,42,-0.32,86.0
202,flatearth,43,-0.34,81.0
203,flatearth,44,-0.44,82.0
204,flatearth,45,-0.41,81.0
205,flatearth,46,-0.47,88.0
206,flatearth,47,-0.49,89.0
207,flatearth,48,-0.51,83.0
208,flatearth,49,-0.3,86.0
209,flatearth,50,-0.46,88.0
210,flatearth,51,-0.4,92.0
211,flatearth,52,-0.41,96.0
212,flatearth,53,-0.4,98.0
213,flatearth,54,-0.43,93.0
214,flatearth,55,-0.41,90.0
215,flatearth,56,-0.37,93.0
216,flatearth,57,-0.41,90.0
217,flatearth,58,-0.35,91.0
218,flatearth,59,-0.42,90.0
219,flatearth,60,-0.48,90.0
220,flatearth,61,-0.39,90.0
221,flatearth,62,-0.4,90.0
222,flatearth,63,-0.46,89.0
223,flatearth,64,-0.4,81.0
224,flatearth,65,-0.42,90.0
225,flatearth,66,-0.43,95.0
226,flatearth,67,-0.43,92.0
227,flatearth,68,-0.43,94.0
228,flatearth,69,-0.35,92.0
229,flatearth,70,-0.43,91.0
230,flatearth,71,-0.39,91.0
231,flatearth,72,-0.45,89.0
232,flatearth,73,-0.45,93.0
233,flatearth,74,-0.4,89.0
234,flatearth,75,-0.59,81.0
235,flatearth,76,-0.56,79.0
236,flatearth,77,-0.51,88.0
237,flatearth,78,-0.62,91.0
238,flatearth,79,-0.53,100.0
239,flatearth,80,-0.41,100.0
240,moonlanding,1,-0.25,100.0
241,moonlanding,2,-0.19,99.0
242,moonlanding,3,-0.49,76.0
243,moonlanding,4,-0.35,70.0
244,moonlanding,5,-0.33,90.0
245,moonlanding,6,-0.41,95.0
246,moonlanding,7,-0.42,89.0
247,moonlanding,8,-0.26,94.0
248,moonlanding,9,-0.34,90.0
249,moonlanding,10,-0.33,97.0
250,moonlanding,11,-0.33,94.0
251,moonlanding,12,-0.44,88.0
252,moonlanding,13,-0.31,88.0
253,moonlanding,14,-0.39,91.0
254,moonlanding,15,-0.45,88.0
255,moonlanding,16,-0.44,88.0
256,moonlanding,17,-0.44,97.0
257,moonlanding,18,-0.37,89.0
258,moonlanding,19,-0.51,95.0
259,moonlanding,20,-0.45,94.0
260,moonlanding,21,-0.52,92.0
261,moonlanding,22,-0.42,94.0
262,moonlanding,23,-0.41,65.0
263,moonlanding,24,-0.32,83.0
264,moonlanding,25,-0.3,89.0
265,moonlanding,26,-0.5,88.0
266,moonlanding,27,-0.41,99.0
267,moonlanding,28,-0.37,98.0
268,moonlanding,29,-0.39,93.0
269,moonlanding,30,-0.44,94.0
270,moonlanding,31,-0.47,100.0
271,moonlanding,32,-0.37,91.0
272,moonlanding,33,-0.48,91.0
273,moonlanding,34,-0.5,95.0
274,moonlanding,35,-0.51,92.0
275,moonlanding,36,-0.47,95.0
276,moonlanding,37,-0.52,96.0
277,moonlanding,38,-0.47,96.0
278,moonlanding,39,-0.43,100.0
279,moonlanding,40,-0.46,100.0
280,moonlanding,41,-0.54,79.0
281,moonlanding,42,-0.61,84.0
282,moonlanding,43,-0.61,91.0
283,moonlanding,44,-0.58,87.0
284,moonlanding,45,-0.53,93.0
285,moonlanding,46,-0.61,94.0
286,moonlanding,47,-0.61,89.0
287,moonlanding,48,-0.58,92.0
288,moonlanding,49,-0.57,87.0
289,moonlanding,50,-0.6,86.0
290,moonlanding,51,-0.55,90.0
291,moonlanding,52,-0.64,86.0
292,moonlanding,53,-0.65,84.0
293,moonlanding,54,-0.65,85.0
294,moonlanding,55,-0.58,87.0
295,moonlanding,56,-0.46,84.0
296,moonlanding,57,-0.57,91.0
297,moonlanding,58,-0.62,91.0
298,moonlanding,59,-0.6,87.0
299,moonlanding,60,-0.59,87.0
300,moonlanding,61,-0.56,93.0
301,moonlanding,62,-0.49,90.0
302,moonlanding,63,-0.54,91.0
303,moonlanding,64,-0.5,84.0
304,moonlanding,65,-0.56,87.0
305,moonlanding,66,-0.5,93.0
306,moonlanding,67,-0.52,85.0
307,moonlanding,68,-0.51,90.0
308,moonlanding,69,-0.54,93.0
309,moonlanding,70,-0.57,84.0
310,moonlanding,71,-0.5,91.0
311,moonlanding,72,-0.5,87.0
312,moonlanding,73,-0.58,90.0
313,moonlanding,74,-0.5,90.0
314,moonlanding,75,-0.53,91.0
315,moonlanding,76,-0.54,85.0
316,moonlanding,77,-0.48,91.0
317,moonlanding,78,-0.54,93.0
318,moonlanding,79,-0.5,98.0
319,moonlanding,80,-0.49,100.0
320,vaccines,1,-0.08,93.0
321,vaccines,2,-0.11,96.0
322,vaccines,3,-0.17,75.0
323,vaccines,4,-0.1,91.0
324,vaccines,5,-0.17,81.0
325,vaccines,6,-0.13,78.0
326,vaccines,7,-0.12,83.0
327,vaccines,8,-0.07,83.0
328,vaccines,9,-0.1,85.0
329,vaccines,10,-0.07,77.0
330,vaccines,11,-0.09,85.0
331,vaccines,12,-0.09,83.0
332,vaccines,13,-0.04,82.0
333,vaccines,14,-0.14,81.0
334,vaccines,15,-0.05,83.0
335,vaccines,16,-0.02,80.0
336,vaccines,17,-0.06,80.0
337,vaccines,18,-0.08,79.0
338,vaccines,19,-0.07,81.0
339,vaccines,20,-0.07,82.0
340,vaccines,21,0.01,85.0
341,vaccines,22,-0.02,87.0
342,vaccines,23,-0.1,80.0
343,vaccines,24,-0.04,83.0
344,vaccines,25,-0.06,86.0
345,vaccines,26,-0.04,88.0
346,vaccines,27,0.03,83.0
347,vaccines,28,0.0,85.0
348,vaccines,29,-0.07,90.0
349,vaccines,30,0.0,79.0
350,vaccines,31,0.05555555555555555,82.22222222222221
351,vaccines,32,-0.044444444444444446,83.33333333333334
352,vaccines,33,-0.1111111111111111,78.88888888888889
353,vaccines,34,-0.03333333333333333,85.55555555555556
354,vaccines,35,0.044444444444444446,81.11111111111111
355,vaccines,36,0.03333333333333333,86.66666666666667
356,vaccines,37,-0.011111111111111112,87.77777777777777
357,vaccines,38,-0.011111111111111112,78.88888888888889
358,vaccines,39,0.022222222222222223,97.77777777777777
359,vaccines,40,0.05555555555555555,96.66666666666667
360,vaccines,41,-0.375,60.0
361,vaccines,42,-0.5111111111111111,56.666666666666664
362,vaccines,43,-0.4666666666666667,86.66666666666667
363,vaccines,44,-0.5444444444444444,74.44444444444444
364,vaccines,45,-0.5222222222222223,62.22222222222222
365,vaccines,46,-0.4875,65.0
366,vaccines,47,-0.5222222222222223,60.0
367,vaccines,48,-0.4666666666666667,63.33333333333333
368,vaccines,49,-0.3888888888888889,76.66666666666667
369,vaccines,50,-0.5333333333333333,65.55555555555556
370,vaccines,51,-0.3333333333333333,63.33333333333333
371,vaccines,52,-0.5555555555555556,67.77777777777779
372,vaccines,53,-0.525,70.0
373,vaccines,54,-0.5,81.11111111111111
374,vaccines,55,-0.5777777777777777,68.88888888888889
375,vaccines,56,-0.4666666666666667,82.22222222222221
376,vaccines,57,-0.6333333333333333,63.33333333333333
377,vaccines,58,-0.4222222222222222,56.666666666666664
378,vaccines,59,-0.3888888888888889,58.88888888888889
379,vaccines,60,-0.35555555555555557,63.33333333333333
380,vaccines,61,-0.5333333333333333,76.66666666666667
381,vaccines,62,-0.4,51.11111111111111
382,vaccines,63,-0.3888888888888889,57.77777777777777
383,vaccines,64,-0.4222222222222222,58.88888888888889
384,vaccines,65,-0.4444444444444444,71.11111111111111
385,vaccines,66,-0.4444444444444444,66.66666666666666
386,vaccines,67,-0.43333333333333335,64.44444444444444
387,vaccines,68,-0.37777777777777777,58.88888888888889
388,vaccines,69,-0.32222222222222224,74.44444444444444
389,vaccines,70,-0.35555555555555557,60.0
390,vaccines,71,-0.36666666666666664,62.22222222222222
391,vaccines,72,-0.5333333333333333,57.77777777777777
392,vaccines,73,-0.43333333333333335,73.33333333333333
393,vaccines,74,-0.43333333333333335,61.111111111111114
394,vaccines,75,-0.32222222222222224,64.44444444444444
395,vaccines,76,-0.4222222222222222,68.88888888888889
396,vaccines,77,-0.4444444444444444,66.66666666666666
397,vaccines,78,-0.5333333333333333,50.0
398,vaccines,79,-0.3333333333333333,100.0
399,vaccines,80,-0.36666666666666664,100.0
