,youtube_id,topic,stance
193,QsZbVg6vmVs,vaccines,1
194,QxZ_iPldGtI,moonlanding,-1
195,R4UDIRlNcV8,vaccines,1
196,RFrlFPwvrGM,911,-1
197,RJh3TiCFJH4,vaccines,1
198,RX5R_-iO3yg,moonlanding,-1
199,RbwR_uHhiI0,911,1
200,ReBPqguolu8,chemtrails,-1
201,RfdZTZQvuCo,vaccines,-1
202,RkAY1xqASUk,vaccines,1
203,RrKG8OOof1o,911,1
204,RwjuSBXjelU,chemtrails,1
205,RywkkwO78m8,flatearth,-1
206,Rzxr9FeZf1g,vaccines,-1
207,S8ixbGlHTTI,vaccines,1
208,SFkVT8Q0fLQ,moonlanding,-1
209,SHJzlpBTqmc,moonlanding,1
210,SIrlAQear_E,flatearth,-1
211,SQOEC9gHpmA,moonlanding,-1
212,STEtkZR0iao,chemtrails,1
213,T4WjyTV98lg,flatearth,-1
214,T9kZ0X0O8Qg,chemtrails,-1
215,TBDZPPSzWUY,moonlanding,-1
216,U1zBvbZCDPY,moonlanding,-1
217,U5Hmjklmy6o,moonlanding,1
218,UM4wZpFpw0U,flatearth,1
219,U_BnfpOiMDs,moonlanding,-1
220,U_bVQitVmjU,moonlanding,-1
221,UzIKWnZJ29s,flatearth,-1
222,UzcE2IaPsAE,chemtrails,-1
223,V7XdiX_BskA,vaccines,1
224,V7iBUkshzHE,chemtrails,1
225,VBz2n0aUHNE,911,1
226,VEDycfVoFaU,flatearth,-1
227,VNqNnUJVcVs,flatearth,-1
228,VPOrnU3ImxI,vaccines,-1
229,VSUaYmsZeOs,chemtrails,1
230,VTAyGLEk_FE,flatearth,-1
231,VdDAGtYz04o,moonlanding,1
232,VigRUhZQUVM,moonlanding,1
233,W2YtR6eFWxw,vaccines,1
234,W9W1zJ0BMro,vaccines,1
235,WGTBJHFNywI,moonlanding,-1
236,WNWW8swrvWs,moonlanding,1
237,WbnYBR1LZ0g,vaccines,1
238,WsQ_ROIkyPM,flatearth,-1
239,WyHoaThrxSs,chemtrails,-1
240,XF_Kr9v6WRs,vaccines,-1
241,XJqJSqBuj2w,vaccines,1
242,XRKawaGWlDw,911,1
243,X_P5KWSXZF4,chemtrails,1
244,XbapWiUq94o,vaccines,-1
245,Xcc_Bwh4uTE,911,-1
246,XdIk31kU1XA,moonlanding,1
247,Xk3Y4qC8gow,moonlanding,1
248,XsBQpuBklI8,chemtrails,1
249,Xyiy2fiV_Mc,moonlanding,-1
250,YEj0x7IRca8,chemtrails,1
251,YKXw_3Pblh8,moonlanding,-1
252,YSAz-Ot3Mco,flatearth,-1
253,YU6g4IUjqFM,moonlanding,1
254,YUT-p2so_k4,chemtrails,1
255,YbV6L5d_aJI,vaccines,1
256,YjWn23pEl3k,flatearth,-1
257,Z11BoRjjnEE,vaccines,1
258,Z1UzHcavypY,moonlanding,1
259,ZPb7RmrkpEg,911,1
260,ZWND2drCupY,vaccines,1
261,ZaSxqSLAp8E,chemtrails,-1
262,ZnGMMsY5yJ0,moonlanding,-1
263,ZonPvpgcBc0,chemtrails,-1
264,ZuiHFg_nfnE,vaccines,-1
265,Zz9Bzi_GyD0,moonlanding,1
266,_FVAzn1Yuz8,911,-1
267,_XjLzPivKp8,chemtrails,1
268,_bt8Zcp2riU,vaccines,-1
269,_loUDS4c3Cs,moonlanding,-1
270,aImuFzCYrSU,chemtrails,1
271,aJcTBnDIZeE,moonlanding,-1
272,aPQWGow2YzE,moonlanding,-1
273,aQ7_9eIAlT4,flatearth,1
274,aSHFzRnK9rE,flatearth,-1
275,al7Dd1UIHnE,flatearth,1
276,au4QBYXZmYw,flatearth,-1
277,b03U6BYF9L0,vaccines,-1
278,bEAwYkvZ5og,911,-1
279,bLk641P8CE4,vaccines,1
280,bZ8CbelERM8,moonlanding,1
281,b_6-iVz1R0o,911,-1
282,bkcK-l0p_qM,chemtrails,-1
283,bm90wY-LWXg,911,-1
284,c43_hfbFr3g,moonlanding,-1
285,c8SwOnmDSQ0,chemtrails,-1
286,cHWeJ0f_o3A,vaccines,1
287,cUg9vwIfGJY,911,1
288,c_XbwtXAhKk,flatearth,1
289,ck0sF5wnH4Q,911,1
290,cp8vldOeI28,911,-1
291,cwZb2mqId0A,moonlanding,-1
292,d3jrLXkuKcw,moonlanding,1
293,dC7LLr93U_s,vaccines,1
294,dJ0wep3qiO0,moonlanding,-1
295,dKJp7dO_CKg,vaccines,1
296,dKLh43pOEuo,flatearth,-1
297,dWBYAxhH3u4,moonlanding,-1
298,dZSL8OnBLlc,vaccines,-1
299,de1XS8jDX64,flatearth,-1
300,dn7nksxsYUA,flatearth,1
301,dyv7pX5Xfp0,chemtrails,-1
302,e20vaAtncsM,chemtrails,-1
303,e5ACN9iF8Jw,flatearth,-1
304,eGGjCZbMh9Y,911,-1
305,eMrFV2rnHlo,vaccines,-1
306,eN4XICOyRb8,chemtrails,1
307,ebyPpFhaNDs,chemtrails,1
308,ehrcUQFul5E,vaccines,1
309,ep-CIUv1_dw,flatearth,1
310,exA8frs4Ubo,911,1
311,f7MOyTeIqgs,vaccines,1
312,fDBRhxryfZM,flatearth,1
313,fIMy5Q0BXEE,chemtrails,1
314,fKhlgIpVWWo,chemtrails,-1
315,fMcpKJ18nmo,moonlanding,1
316,fMsa7o48XBE,vaccines,-1
317,fZAMoQTTnSg,moonlanding,-1
318,fan7PuyFZNk,moonlanding,1
319,fg71tqpsVXY,flatearth,-1
320,fmY0rroFYmg,911,-1
321,fmv6MB_t5Hc,moonlanding,-1
322,ft6rKeUXd5I,moonlanding,1
323,fuiQj1WQzPQ,911,1
324,gBdIgWPqSxM,chemtrails,-1
325,gC1epPqqziE,chemtrails,1
326,gH02Eh44yUg,911,-1
327,gR6KVYJ73AU,chemtrails,1
328,gf2bObJGFkg,vaccines,-1
329,gg2M7nphmFw,vaccines,1
330,gsHdu5MpYCs,911,1
331,gsUYhrXonXQ,911,-1
332,gui_ATdfHx4,911,-1
333,hErut24JMvg,moonlanding,1
334,hF1akWl1k68,chemtrails,1
335,hLPPE3_DVCw,flatearth,-1
336,hPSVUpMsveY,911,-1
337,hUEZmrcx_lM,chemtrails,-1
338,hbeJuZNpuvQ,911,-1
339,hwDGCyhBIqg,vaccines,1
340,i1BLRpiRVnY,911,1
341,i2mdwmpLYLY,vaccines,-1
342,iCAm3WVH8bE,vaccines,-1
343,iOfcyYlQzZk,flatearth,-1
344,iftua6lS7vI,chemtrails,-1
345,igoizIP7f-g,flatearth,1
346,issAPxADKW8,flatearth,1
347,iyW_-tHf0Qw,chemtrails,-1
348,j5SdADq9E1U,vaccines,-1
349,j7TOPdn_d6o,chemtrails,1
350,jGXkDR3N8FQ,911,1
351,jHXEesml-A0,vaccines,1
352,jHm0XhtDyZA,chemtrails,1
353,jf0khstYDLA,chemtrails,1
354,jlUNJzU9Mdw,moonlanding,1
355,jszkiXTdvRM,flatearth,1
356,jt7-rZ0TQvs,chemtrails,-1
357,jt9rdznYsLI,vaccines,1
358,k1AIQw8SvxM,911,-1
359,k7DGeWlKu0Q,vaccines,-1
360,kGeLOjF2yQI,flatearth,-1
361,kL-XJQOeDK0,moonlanding,1
362,kYneyXrc-90,moonlanding,-1
363,kcd6PQAKmj4,911,1
364,kfLx9EjHomc,911,-1
365,kgUDbvKYbWk,chemtrails,-1
366,km1vtV5rR9A,moonlanding,1
367,knaW-GxMDXw,moonlanding,1
368,ktfnyC5lR3U,911,-1
369,lCDCOckaTTg,vaccines,-1
370,lKrVPxLwBqo,flatearth,-1
371,lN_3FfznXLE,moonlanding,-1
372,lZaD-H_j3pU,chemtrails,1
373,mB3gwgBVUyw,911,1
374,mDXw0EcyQeY,chemtrails,-1
375,mEfJO0-cTis,chemtrails,1
376,mTjvX6s2Jvk,vaccines,1
377,mYB1JP-gfLE,flatearth,-1
378,ml4M8Kjg8SI,vaccines,1
379,mtZpyj4vpnM,flatearth,1
380,mxhxL1LzKww,flatearth,-1
381,n4Bj-FAiUHQ,911,1
382,n4kSOxSF1i0,chemtrails,1
383,n9Xn6WCj0K8,vaccines,-1
384,n9bYHwp_xnU,flatearth,-1
385,nC7y1HGJWvM,moonlanding,-1
386,nN3qUXJp7l0,911,-1
387,nXxbo09DxYw,chemtrails,1
388,nfdCnPZGwt0,chemtrails,-1
389,nhgFwt6u084,flatearth,1
390,o0veqwrVeeQ,vaccines,1
391,o3ZseQrmzXI,911,-1
392,o6SAjwnVG7o,911,1
393,oORCGs1RFqM,moonlanding,1
394,oU3jPeBCAwI,vaccines,1
395,p6ccaX4u3k0,vaccines,1
396,p80hXaM4QgU,911,-1
397,pU8bOYY4Ia0,911,1
398,pXhs1WBY1WQ,moonlanding,1
399,pk7He-tQ4iI,911,-1
400,pnxAsrAK2hw,vaccines,1
401,q1EU7IaMM_k,chemtrails,1
402,q5ijBhgPgjw,vaccines,1
403,q7pzg9xpAOE,moonlanding,1
404,q9ZVRAY6Q7k,911,-1
405,qGtVaSFmBlg,flatearth,-1
406,qdLh_Iwnrgg,moonlanding,1
407,qkRnJutL5ko,flatearth,-1
408,qwbIu2PzCRs,flatearth,-1
409,qz1bo4d1wto,flatearth,-1
410,r1gbQvbimNE,flatearth,-1
411,r9nJxSv_2xc,vaccines,1
412,rJrfo6G2sMY,flatearth,1
413,rJrfo6G2sMY,moonlanding,1
414,rO8FsKJIgXY,moonlanding,1
415,r_UYZITc_90,911,-1
416,rb7TVW77ZCs,vaccines,-1
417,reFL8lVZbN8,vaccines,1
418,rk2vYLZ5A3U,flatearth,1
419,s04VUk_41r8,911,1
420,s3xmxWhAvb4,911,1
421,s7RQ2f9NV70,chemtrails,-1
422,sWhavDJlVyw,911,1
423,seqKlU3rTrA,vaccines,1
424,syVP6zDZN7I,moonlanding,-1
425,t0pk7QwifeY,911,1
426,t1wQ2BJsgx0,911,-1
427,tAHWfSIuOFQ,chemtrails,-1
428,tC5RalYWZ5Y,flatearth,-1
429,tHJUVDL68iw,moonlanding,1
430,tNyPNEqhVSk,911,1
431,tS4gpRCjIbE,moonlanding,-1
432,tXJLoezDoAc,flatearth,1
433,thxbiR-XfJo,flatearth,-1
434,tncjsUkqNyY,vaccines,-1
435,uDFi1VeayTw,chemtrails,-1
436,uFFse7WQ12w,moonlanding,-1
437,uTChrirK-hw,moonlanding,-1
438,uc4QMGk5Avg,vaccines,1
439,umo6pMCkcXs,flatearth,-1
440,uskEP89S-ec,911,-1
441,uyf2gKmC1vs,vaccines,1
442,vRm1xQD0aLs,911,-1
443,vWNfFlXOF58,vaccines,-1
444,vhcqouX49I0,vaccines,-1
445,vpljiOgd9RQ,flatearth,-1
446,vrCfMwrj23U,flatearth,1
447,vyAh9OENJPU,flatearth,1
448,vzInIjD6nKw,911,-1
449,wJBBlntDtEU,chemtrails,1
450,wKlMcLTqRLs,vaccines,-1
451,wToSY9o1cQA,911,-1
452,wYgZOaNU6mw,chemtrails,-1
453,wYnIvrDlhb4,moonlanding,1
454,wdMvQTNLaUE,moonlanding,1
455,x9D9rElKYKI,chemtrails,-1
456,x9u5pkZBYe0,flatearth,1
457,xC9APKoPE2c,vaccines,-1
458,xL5TLfL5_PA,chemtrails,-1
459,xM9S4QiEHEY,flatearth,-1
460,xRMnqYo8sOs,flatearth,1
461,xUcYQ7slmRw,moonlanding,-1
462,xVMFOvxaxW8,flatearth,-1
463,xXjsn9L-SGI,vaccines,-1
464,xbZN7QLjy2U,moonlanding,-1
465,xciCJfbTvE4,moonlanding,1
466,xdg5JO5OgWs,vaccines,1
467,xiIVs5w4nqE,911,-1
468,xyjppxh2-C0,moonlanding,1
469,y2WtUMvNjzQ,vaccines,-1
470,yCI20qp1Ers,moonlanding,-1
471,yNVgzk3tbl0,flatearth,1
472,yZFNJplylns,chemtrails,1
473,ycxsnA75-Jo,moonlanding,1
474,ykHUiQJNUm8,vaccines,1
475,yqUFy-t4MlQ,vaccines,-1
476,ytAsil0QOMw,chemtrails,-1
477,yziiGH3lZ54,chemtrails,-1
478,z2f3O0C2_y0,flatearth,-1
479,z9Vr1WbPF9I,911,1
480,zBkVCpbNnkU,vaccines,-1
481,zLMg7ds_Lhs,flatearth,-1
482,zNeOTOytEeA,chemtrails,1
483,zPj60sy9Cfw,moonlanding,-1
484,zhp-FTYSGe8,moonlanding,-1
485,zjCOMJDULaE,moonlanding,-1
486,ztkNLWFgYH8,vaccines,-1
487,zzD4T6wvDm8,moonlanding,-1
