,youtube_id,original_label,normalized_label
172,Yutzg2NLwcU,not about misinfo,0.0
173,5IBa88VkM6g,not about misinfo,0.0
174,lS_DgMfAPYM,promoting,1.0
175,6k1U5fkc3aM,not about misinfo,0.0
176,mpgAVE4UwFw,not about misinfo,0.0
177,CXPpCLsqUuo,not about misinfo,0.0
178,gIdXLMVP6VU,not about misinfo,0.0
179,UZMIbo_DxJk,not about misinfo,0.0
180,JszHrMZ7dx4,not about misinfo,0.0
181,xCr2mqR3VN4,not about misinfo,0.0
182,m8mg7CxAYUM,not about misinfo,0.0
183,gyNQhz-higo,not about misinfo,0.0
184,3RkhZgRNC1k,debunking,-1.0
185,6AfFM8pfy4s,not about misinfo,0.0
186,shoVsQhou-8,not about misinfo,0.0
187,j7-FmAfxMmQ,promoting,1.0
188,awGN5NApDy4,not about misinfo,0.0
189,Yc9_ZFxMvMw,not about misinfo,0.0
190,HHs5M3pyd3Q,not about misinfo,0.0
191,tT0ob3cHPmE,not about misinfo,0.0
192,iGBPgtomdjA,not about misinfo,0.0
193,36m1o-tM05g,not about misinfo,0.0
194,lU27mxf6YY8,not about misinfo,0.0
195,LnFc5ISF96I,debunking,-1.0
196,GVAaPy7CMAM,debunking,-1.0
197,7zpojhD4hpI,not about misinfo,0.0
198,xF_VYNtDgN8,promoting,1.0
199,papeLtBvaTE,not about misinfo,0.0
200,7Smrw-BYe1I,not about misinfo,0.0
201,TfSJFPu50_A,debunking,-1.0
202,iTLssSIetq0,not about misinfo,0.0
203,ENe89j89tBA,not about misinfo,0.0
204,V4d_mCItBxE,not about misinfo,0.0
205,k3QiW0gEpYM,not about misinfo,0.0
206,O8KQbZDatg0,not about misinfo,0.0
207,ISdBAf-ysI0,not about misinfo,0.0
208,8GY4m022tgo,not about misinfo,0.0
209,0_Cgxy7N-V0,not about misinfo,0.0
210,esUb7Zy5Oio,not about misinfo,0.0
211,bOOXmfkXpkM,not about misinfo,0.0
212,hlWiI4xVXKY,not about misinfo,0.0
213,Zdv06jXloD4,promoting,1.0
214,5qap5aO4i9A,not about misinfo,0.0
215,f9Qcfii4pc8,not about misinfo,0.0
216,kMLD-SwRLpE,not about misinfo,0.0
217,IUuu1YlkBlw,promoting,1.0
218,pXiyiez7wWE,not about misinfo,0.0
219,S1fQNg206Ic,neutral,0.0
220,yziiGH3lZ54,debunking,-1.0
221,PNatkPqC0J0,debunking,-1.0
222,IqATQtwOY34,promoting,1.0
223,sga1ZPBJ9DY,not about misinfo,0.0
224,aNUYGRn3W9Q,not about misinfo,0.0
225,A0X3BaifKO4,promoting,1.0
226,0MAShI0i7MA,debunking,-1.0
227,nlHlkkd3F50,promoting,1.0
228,5WdLV3YRMvw,debunking,-1.0
229,iqmO1RlqorU,not about misinfo,0.0
230,suIAo0EYwOE,not about misinfo,0.0
231,aXuTt7c3Jkg,neutral,0.0
232,aB8zcAttP1E,promoting,1.0
233,vBHild0PiTE,not about misinfo,0.0
234,hLZ-WHVRbxg,not about misinfo,0.0
235,Y0HfmYBlF8g,not about misinfo,0.0
236,hzLTgtFaPLY,not about misinfo,0.0
237,fzweIEvN8sc,not about misinfo,0.0
238,zlm1aajH6gY,not about misinfo,0.0
239,qMMgsjnI1is,not about misinfo,0.0
240,FACK2knC08E,debunking,-1.0
