youtube_id,published_at,title,description,channel_id,language,duration_seconds,duration_minutes,duration_hours,view_count,like_count,dislike_count,favorite_count,comment_count,encountered_home,encountered_search,encountered_recommend,encountered_all
4g2KjWYGEmE,,,,,,808,13.466666666666667,0.22444444444444445,,,,,,1,0,0,1
O2Ew8Qi0ADY,,,,,,1652,27.533333333333335,0.4588888888888889,,,,,,0,0,1,1
gq1DFcl67x4,,,,,,1408,23.466666666666665,0.3911111111111111,,,,,,1,0,0,1
5FpMaFCUphw,,,,,,634,10.566666666666666,0.1761111111111111,,,,,,0,0,1,1
FnDzF5H5bkk,,,,,,21966,366.1,6.1016666666666675,,,,,,1,0,17,18
P3w6LTkRCZQ,,,,,,1812,30.2,0.5033333333333333,,,,,,3,0,0,3
02NQkhbjALg,,,,,,30018,500.3,8.338333333333333,,,,,,3,0,0,3
o_Sr96TFQQE,,,,,,3782,63.03333333333333,1.0505555555555555,,,,,,0,0,17,17
iETwWNociM8,,,,,,774,12.9,0.215,,,,,,1,0,0,1
WOvvyqJ-vwo,,,,,,266,4.433333333333334,0.07388888888888889,,,,,,0,0,4,4
kbDrIk5oc54,,,,,,194,3.2333333333333334,0.05388888888888889,,,,,,6,0,0,6
NIlz3g3DgCU,,,,,,171,2.85,0.0475,,,,,,1,0,0,1
WvbbYVecJgc,,,,,,28,0.4666666666666667,0.0077777777777777776,,,,,,1,0,0,1
M6jhjkIoZRg,,,,,,251,4.183333333333334,0.06972222222222223,,,,,,9,0,0,9
GjPTVNPdTsg,,,,,,131,2.183333333333333,0.03638888888888889,,,,,,1,0,0,1
5Ct4LgV8flU,,,,,,215,3.5833333333333335,0.059722222222222225,,,,,,3,0,0,3
Zw5H7byQ53w,,,,,,877,14.616666666666667,0.2436111111111111,,,,,,31,0,0,31
3qqE_WmagjY,,,,,,296,4.933333333333334,0.08222222222222222,,,,,,1,0,0,1
1TZTeR7cKHE,,,,,,2034,33.9,0.565,,,,,,1,0,1,2
9j-OwBe7XPE,,,,,,42901,715.0166666666667,11.916944444444445,,,,,,0,0,1,1
KMAtkjy_YK4,,,,,,13041,217.35,3.6225,,,,,,0,0,10,10
26_I0wwsWOY,,,,,,1856,30.933333333333334,0.5155555555555555,,,,,,1,0,0,1
gPr8nComZVg,,,,,,134,2.2333333333333334,0.037222222222222226,,,,,,43,0,0,43
BjGjxlo5cxg,,,,,,36002,600.0333333333333,10.000555555555556,,,,,,1,0,0,1
G5tJqxShtE0,,,,,,274,4.566666666666666,0.0761111111111111,,,,,,1,0,0,1
CAyT55dQ3wU,,,,,,599,9.983333333333333,0.16638888888888886,,,,,,2,0,0,2
zyFAlep9CA4,,,,,,528,8.8,0.14666666666666667,,,,,,4,0,0,4
mGmEBrwow1U,,,,,,242,4.033333333333333,0.06722222222222222,,,,,,8,0,0,8
pgcHBcQRlpw,,,,,,35,0.5833333333333334,0.009722222222222222,,,,,,3,0,0,3
74b3Zb18UDM,,,,,,36001,600.0166666666667,10.000277777777777,,,,,,1,0,1,2
65PX3GxNHAg,,,,,,691,11.516666666666667,0.19194444444444445,,,,,,1,0,0,1
hgMNaNSg9Gc,,,,,,892,14.866666666666667,0.2477777777777778,,,,,,2,0,0,2
658xlubwnDc,,,,,,3453,57.55,0.9591666666666666,,,,,,0,0,2,2
eumLSr9Srwk,,,,,,5644,94.06666666666666,1.5677777777777777,,,,,,0,0,1,1
N0mJLj6BJ0M,,,,,,1057,17.616666666666667,0.2936111111111111,,,,,,1,0,0,1
G_QhTdzWBJk,,,,,,990,16.5,0.275,,,,,,0,0,1,1
whulxPGZ_ZU,,,,,,213,3.55,0.059166666666666666,,,,,,1,0,0,1
7j_f48m4RPw,,,,,,7903,131.71666666666667,2.1952777777777777,,,,,,1,0,0,1
VL8LlKZ7fPQ,,,,,,635,10.583333333333334,0.1763888888888889,,,,,,3,0,0,3
apDoJkfR85A,,,,,,1424,23.733333333333334,0.39555555555555555,,,,,,1,0,0,1
F5gU7u4NPCg,,,,,,200,3.3333333333333335,0.05555555555555556,,,,,,1,0,0,1
XNY3PwbIPTg,,,,,,793,13.216666666666667,0.22027777777777777,,,,,,0,0,1,1
xHyQYdfEdtY,,,,,,3386,56.43333333333333,0.9405555555555555,,,,,,1,0,0,1
8bYjWOU4KcU,,,,,,1159,19.316666666666666,0.3219444444444444,,,,,,2,0,0,2
daUnVir0qUE,,,,,,3035,50.583333333333336,0.8430555555555556,,,,,,0,0,1,1
9DKhc1pcDFM,,,,,,3485,58.083333333333336,0.9680555555555556,,,,,,0,0,1,1
1GK4RDxOx-4,,,,,,1239,20.65,0.3441666666666666,,,,,,0,0,5,5
kJjgr0So7ek,,,,,,796,13.266666666666667,0.22111111111111112,,,,,,6,0,0,6
